"id","name","start","dist","elev","end","type","map"
"beacon-i90-trail-cap-hill","Beacon Hill, I90 Trail, Cap Hill","Beacon","4.8","530","CapHill","P2P","https://onthegomap.com/s/8jo5uqcm"
"beacon-i90-bridge-cap-hill","Beacon Hill, I90 Bridge, Cap Hill","Beacon","10.1","1190","CapHill","P2P","https://onthegomap.com/s/kps8bd3u"
"beacon-i90-luther-burbank-ob","OB: Beacon, I90, Luther Burbank","Beacon","13.1","1470","Beacon","OB","https://onthegomap.com/s/4kn8h5of"
"cse-portage-bay-loop","CSE, Portage Bay Loop","CSE","3.8","393","CSE","Loop","https://onthegomap.com/s/c5d3qp0b"
"cse-arboretum-azalea-way-ob","CSE, Arboretum, Azalea Way","CSE","3.9","418","CSE","OB","https://onthegomap.com/s/mafjulde"
"cse-foster-arboretum-ob","OB: CSE, Foster, Arboretum","CSE","4.0","438","CSE","OB","https://onthegomap.com/s/uofrci53"
"cse-gas-works-ob","OB: CSE, Gas Works","CSE","4.0","247","CSE","OB","https://onthegomap.com/s/ocdc04ek"
"cse-arboretum-interlaken-loop","CSE, Arboretum, Interlaken Loop","CSE","4.2","507","CSE","Loop","https://onthegomap.com/s/3h2bvggg"
"cse-foster-arboretum-montlake-loop","CSE, Foster, Arboretum, Montlake Loop","CSE","4.2","442","CSE","Loop","https://onthegomap.com/s/rr87a29f"
"cse-foster-arboretum-interlaken-loop","CSE, Foster, Arboretum, Interlaken Loop","CSE","5.4","600","CSE","Loop","https://onthegomap.com/s/made1kk1"
"cse-foster-arboretum-loop","CSE, Foster, Arboretum Loop","CSE","5.7","580","CSE","Loop","https://onthegomap.com/s/ngimn8at"
"cse-arboretum-interlaken-portage-bay-loop","CSE, Arboretum, Interlaken, Portage Bay Loop","CSE","6.1","810","CSE","Loop","https://onthegomap.com/s/0prd34i2"
"cse-foster-arboretum-interlaken-bay-loop","CSE, Foster, Arboretum, Interlaken, Bay Loop","CSE","6.5","660","CSE","Loop","https://onthegomap.com/s/c4bi4qkc"
"cse-eastlake-stairs-volunteer-arboretum-loop","CSE, Eastlake Stairs, Volunteer, Arboretum Loop","CSE","7.0","840","CSE","Loop","https://onthegomap.com/s/1vja44t2"
"cse-520-ob","OB: CSE, 520","CSE","7.6","590","CSE","OB","https://onthegomap.com/s/3ho0rufu"
"cse-lake-union-loop","CSE, Lake Union Loop","CSE","8.1","400","CSE","Loop","https://onthegomap.com/s/d7n6ivqv"
"cse-foster-arboretum-madison-park-ob","OB: CSE, Foster, Arboretum, Madison Park","CSE","8.3","840","CSE","OB","https://onthegomap.com/s/ti2jb5tb"
"cse-foster-arboretum-beaver-lodge-ob","OB: CSE, Foster, Arboretum, Beaver Lodge","CSE","8.8","800","CSE","OB","https://onthegomap.com/s/571qdd37"
"cse-lwb-cc","CSE, LWB, Columbia City","CSE","8.8","650","ColCity","P2P","https://onthegomap.com/s/k3pikua1"
"cse-520-east-trail-downton-bellevue","CSE, 520, East Trail, Downtown Bellevue","CSE","8.9","710","Bellevue","P2P","https://onthegomap.com/s/hrrdnjmg"
"cse-burke-salmon-bay-ship-canal","CSE, Burke, Salmon Bay, Ship Canal","CSE","9.3","310","CSE","OB","https://onthegomap.com/s/gtievusc"
"cse-520-wetherill-ob","OB: CSE, 520, Wetherill Preserve","CSE","9.8","710","CSE","OB","https://onthegomap.com/s/jssjhikb"
"cse-520-trail-redmond-tech-center","CSE, 520 Trail, Redmond Tech Center","CSE","10.0","930","RedTech","P2P","https://onthegomap.com/s/v912b5iv"
