id,name,lat,long,transit,region
Alki,Alki Beach,,,,
Bainbridge,Bainbridge Ferry Terminal,,,,
Beacon,Beacon Hill Station,,,,
BellDtwn,Bellevue Downtown Station,,,,
BlythPark,Blyth Park,,,,
CapHill,Capitol Hill Station,,,,
CID,Chinatown International District Station,,,,
ColCity,Columbia City Station,,,,
ColmanPark,Colman Park,,,,
Cougar,Cougar Mountain Park,,,,
CSE,UW CSE,,,,
GasWorks,Gas Works Park,,,,
GreenLake,Green Lake Community Center,,,,
JaysCafe,Jay's Cafe,,,,
JRidgeTrail,Johnson Ridge Trail,,,,
Locks,Ballard Locks,,,,
LordHill,Lord Hill Park,,,,
MadronaPark,Madrona Park,,,,
Magnuson,Magnusun Park,,,,
Marymoor,Marymoor Park,,,,
Miller,Miller Playfield,,,,
MtBaker,Mount Baker Station,,,,
Northgate,Northgate Station,,,,
PacPav,Pacar Pavilion,,,,
RedTech,Redmond Technology Center Station,,,,
RedWater,Redmond Watershed Preserve,,,,
Roosevelt,Roosevelt Station,,,,
Seward,Seward Park,,,,
SoBell,South Bellevue Station,,,,
SoDisco,South Discovery Park,,,,
SODO,SODO Station,,,,
WashPark,Washington Park (South Arboretum),,,,
Westlake,Westlake Station,,,,
WoodCafe,Woodinville Cafe,,,,
Lynwood,Lynwood Station,,,,
