id,name,start,dist,up,down,end,type,surface,map,deprecated,neighborhoods,coarse_neighborhoods,start_neighborhood,end_neighborhood,transit
bainbridge-coast-to-coast-loop,Bainbridge Coast-to-coast Loop,Bainbridge,13.3,1500,1500.0,Bainbridge,Loop,Mixed,https://onthegomap.com/s/tfok51fh,,non-Seattle,,non-Seattle,non-Seattle,
beacon-mt-sound-i90-trail-judkins-ob,"OB: Beacon, Mt Sound, I90 Trail, Judkins Park",Beacon,4.3,519,519.0,Beacon,OB,Road,https://onthegomap.com/s/8qsq84ct,,North Beacon Hill;Atlantic,Beacon Hill;Central Area,North Beacon Hill,North Beacon Hill,
beacon-i90-trail-cap-hill,"Beacon Hill, I90 Trail, Cap Hill",Beacon,4.8,530,480.0,CapHill,P2P,Road,https://onthegomap.com/s/8jo5uqcm,,International District;North Beacon Hill;First Hill;Atlantic;Broadway;Yesler Terrace,Beacon Hill;Central Area;Downtown;Capitol Hill,North Beacon Hill,Broadway,
beacon-cheasty-lwb-genessee-cc,"Beacon, Cheasty, Genessee Park, Columbia City",Beacon,5.9,360,520.0,ColCity,P2P,Road,https://onthegomap.com/s/udl7ppi4,,North Beacon Hill;Mount Baker;Columbia City;Seward Park,Beacon Hill;Rainier Valley;Seward Park,North Beacon Hill,Columbia City,
beacon-jefferson-park-chief-sealth-new-holly-ob,"OB: Beacon, Jefferson Park, Chief Sealth Trail, New Holly",Beacon,7.7,600,600.0,Beacon,OB,Road,https://onthegomap.com/s/q5s1umj8,,Mid-Beacon Hill;North Beacon Hill;Holly Park,Beacon Hill,North Beacon Hill,North Beacon Hill,
beacon-cheasty-lwb-seward-cc,"Beacon, Cheasty, Seward Park, Columbia City",Beacon,8.7,580,,ColCity,P2P,,https://onthegomap.com/s/3nunbt2c,,North Beacon Hill;Mount Baker;Columbia City;Seward Park,Beacon Hill;Rainier Valley;Seward Park,North Beacon Hill,Columbia City,
beacon-i90-bridge-cap-hill,"Beacon Hill, I90 Bridge, Cap Hill",Beacon,10.1,1190,,CapHill,P2P,,https://onthegomap.com/s/kps8bd3u,,International District;North Beacon Hill;Mount Baker;Atlantic;First Hill;Broadway;Yesler Terrace,Downtown;Capitol Hill;Beacon Hill;Central Area;Rainier Valley,North Beacon Hill,Broadway,
beacon-cheasty-lwb-seward-loop-cc,"Beacon, Cheasty, Seward Park Loop, Columbia City",Beacon,11.1,690,,ColCity,P2P,,https://onthegomap.com/s/eajn1tqk,,North Beacon Hill;Mount Baker;Columbia City;Seward Park,Beacon Hill;Rainier Valley;Seward Park,North Beacon Hill,Columbia City,
beacon-i90-luther-burbank-ob,"OB: Beacon, I90, Luther Burbank",Beacon,13.1,1470,,Beacon,OB,,https://onthegomap.com/s/4kn8h5of,,North Beacon Hill;Atlantic;Mount Baker,Beacon Hill;Central Area;Rainier Valley,North Beacon Hill,North Beacon Hill,
bell-dtwn-parks-lake-larsen-lake-phantom-ob,"OB: Bellevue Downtown, Parks, Lake Larsen, Lake Phantom",BellDtwn,10.8,1090,,BellDtwn,OB,,https://onthegomap.com/s/igk1l3k6,,non-Seattle,,non-Seattle,non-Seattle,
