"id","name","lat","lon","region","maps_url","meeting_point_desc","transit","reachability"
"Alki","Alki Beach","47.5801187","-122.4158763","","","","Bus to Alki Ave SW & 61st Ave SW stop","2"
"Beacon","Beacon Hill Station","47.579265","-122.311753","","https://maps.app.goo.gl/PzogvMhTuyUsYRc87","""Common Threads-Community Patterns"" poles sculpture","Light Rail to Beacon Hill stop","2"
"BellDtwn","Bellevue Downtown Station","47.6150957","-122.1942621","","https://maps.app.goo.gl/H38DLL1dhhPAvets9","","Light Rail to Bellevue Downtown stop","2"
"BlythPark","Blyth Park","47.75047","-122.20814","","","","Bus to NE Bothell Way & 96th Ave NE stop","3"
"CapHill","Capitol Hill Station","47.6196778","-122.320729","","https://maps.app.goo.gl/d9JjJchMbFj3Dngg9","North Entrance, SE corner of E John St & Broadway E","Light Rail to Broadway & E Denny Way stop","1"
"CID","Chinatown International District Station","47.59864","-122.32801","","https://maps.app.goo.gl/bXUrsZ5M1SpfSRrHA","","Bus to 4th Ave S & S Jackson St stop","2"
"ColCity","Columbia City Station","47.56006","-122.29294","","https://maps.app.goo.gl/3goc7v3rd1FEqSrP7","","Light Rail to Columbia City stop","2"
"ColCityCenter","Columbia City Center","47.5578","-122.28488","","","","Bus to S Alaska St & 35th Ave S stop","2"
"ColmanDock","Colman Dock","47.6025285","-122.3381589","","https://maps.app.goo.gl/RRLWmbmhDebw7AMq9","Inside ferry building","Bus to 1st Ave & Spring St stop","1"
"ColmanPark","Colman Park","47.58561","-122.28681","","","","Bus to 31st Ave S & S Plum St stop","2"
"Cougar","Cougar Mountain Park","47.53299","-122.11401","","","","Bus or Drive","3"
"CSE","UW CSE","47.65322","-122.30525","","https://maps.app.goo.gl/4ih5UWgn8SpfrZo1A","","Light Rail to Univ of Washington stop","3"
"ElChup","El Chupacabra","47.58015","-122.40732","","","","Bus to Alki Ave SW & 61st Ave SW stop",""
"GasWorks","Gas Works Park","47.6459839","-122.3359135","","https://maps.app.goo.gl/3NFyYHvPvtdW5ZhA6","Parking lot, east side","Bus to N 35th St & Wallingford Ave N stop","2"
"GreenLake","Green Lake Community Center","47.68043","-122.328986","","https://maps.app.goo.gl/iQq4hdSYjUakMWQZ7","","Bus to NE Ravenna Blvd & Woodlawn Ave NE stop","1"
"JaysCafe","Jay's Cafe","47.7569854","-122.242083","","","","Bus to NE Bothell Way & 77th Ct NE stop","3"
"JRidgeTrail","Johnson Ridge Trail","47.7966051","-121.2652243","","","","Bus or Drive","3"
"Locks","Ballard Locks","47.6674708","-122.3962056","","https://maps.app.goo.gl/YKQN6PwsuTsPgHej6","Outside North Gate, diagonally across Lockspot Cafe","Bus to 32nd Ave NW & NW 59th St stop","2"
"LordHill","Lord Hill Park","47.83388","-122.04547","","","South parking lot","Bus or Drive","3"
"Lynnwood","Lynnwood Station","47.8154458","-122.2951414","","https://maps.app.goo.gl/YxaAYxdmmpuNe7wr8","","Light Rail to Lynnwood City Center stop","2"
"MadronaPark","Madrona Park","47.60919","-122.28259","","","","Bus to Madrona Park & Lake Washington Blvd stop","2"
"Magnuson","Magnuson Park","47.6797723","-122.256177","","","","Bus to 62nd Ave NE & NE 65th St stop","2"
"Marymoor","Marymoor Park","47.66519","-122.12118","","","","Bus to Bear Creek Pkwy & 164th Ave NE stop","3"
"Miller","Miller Playfield","47.6210058","-122.3083135","","","","Bus to E Madison St & 22nd Ave E stop","2"
"MtBaker","Mount Baker Station","47.5765999","-122.2977231","","https://maps.app.goo.gl/zzMgnxYtKJVj6mds6","""Sky Within"" sculpture at street level, under platform","Light Rail to Mount Baker stop","2"
"Northgate","Northgate Station","47.7025575","-122.3283229","","https://maps.app.goo.gl/XD2CSQLaHzrQ5oX58","At the elevated exit to John Lewis Memorial Bridge, one level down from platform, one level above ground","Light Rail to Northgate stop","2"
"PacPav","Paccar Pavilion","47.61611","-122.35385","","","","Bus to 3rd Ave & Vine St stop","1"
"RedTech","Redmond Technology Center Station","47.644087","-122.1331","","https://maps.app.goo.gl/dRRzfUcmvML1TzMr8","","Light Rail to Redmond Technology stop","2"
"RedWater","Redmond Watershed Preserve","47.69694","-122.05146","","","","Bus or Drive","3"
"Roosevelt","Roosevelt Station","47.675987","-122.3158799","","https://maps.app.goo.gl/hR1C3bR6t4echwML6","Outside Main Entrance, NW Corner of NE 65th & 12th Ave NE","Light Rail to Roosevelt stop","2"
"Seward","Seward Park","47.55013","-122.25684","","","","Bus to Seward Park Ave S & S Juneau St stop","3"
"SoBell","South Bellevue Station","47.5865506","-122.1923785","","https://maps.app.goo.gl/uKEqhcKWBedCYdJv6","","Light Rail to South Bellevue stop","2"
"SoDisco","South Discovery Park","47.6537734","-122.4132117","","","","Bus to W Emerson St & Magnolia Blvd W stop","2"
"SODO","SODO Station","47.5800441","-122.3273371","","https://maps.app.goo.gl/WXSgA2UBwWzwv7MRA","""Made in USA"" arch sculpture, NE corner of S Lander & SODO busway","Bus to S Lander St & SODO Busway stop","1"
"WashPark","Washington Park (South Arboretum)","47.6280587","-122.29417","","https://maps.app.goo.gl/YBRvLZLaKhNDAjok8","East End of Parking Lot","Bus to E Madison St & 34th Ave E stop","2"
"Westlake","Westlake Station","47.6109627","-122.3382169","","https://maps.app.goo.gl/amdkLVihVvqJMW936","C1 entrance, street level, North side of Pine b/t 3rd and 4th","Light Rail to Westlake stop","1"
"WoodCafe","Woodinville Cafe","47.7550348","-122.1534919","","https://maps.app.goo.gl/VZSWE6Xah12iJ3is6","","Bus to 140th Ave NE & NE 175th St stop","3"
