stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
100,100,"1st Ave & Spring St","",47.6051369,-122.336533,21,,0,,America/Los_Angeles,1
10005,10005,"40th Ave NE & NE 51st St","",47.6658859,-122.284897,1,,0,,America/Los_Angeles,1
10010,10010,"NE 55th St & 39th Ave NE","",47.6685791,-122.285667,1,,0,,America/Los_Angeles,1
10020,10020,"NE 55th St & 37th Ave NE","",47.6685791,-122.2883,1,,0,,America/Los_Angeles,1
10030,10030,"NE 55th St & 35th Ave NE","",47.6685791,-122.290512,1,,0,,America/Los_Angeles,1
10040,10040,"NE 55th St & 33rd Ave NE","",47.6685829,-122.293015,1,,0,,America/Los_Angeles,1
10050,10050,"NE 55th St & 30th Ave NE","",47.6685905,-122.295448,1,,0,,America/Los_Angeles,1
10060,10060,"NE 55th St & 27th Ave NE","",47.6685944,-122.298859,1,,0,,America/Los_Angeles,1
10070,10070,"NE 55th St & 25th Ave NE","",47.6685944,-122.30098,1,,0,,America/Los_Angeles,1
10083,10083,"Ravenna Ave NE & Ravenna Pl NE","",47.6684799,-122.30378,1,,0,,America/Los_Angeles,1
101,101,"Spring St & 3rd Ave","",47.6061363,-122.334969,21,,0,,America/Los_Angeles,1
1010,1010,"Howell St & Minor Ave","",47.6167107,-122.330597,1,,0,,America/Los_Angeles,1
10100,10100,"NE Ravenna Blvd & Park Rd NE","",47.6695518,-122.305405,1,,0,,America/Los_Angeles,1
10110,10110,"20th Ave NE & NE 55th St","",47.6682739,-122.30658,1,,0,,America/Los_Angeles,1
10120,10120,"20th Ave NE & NE 52nd St","",47.6662827,-122.306602,1,,0,,America/Los_Angeles,1
10130,10130,"NE 50th St & 19th Ave NE","",47.6649284,-122.307114,1,,0,,America/Los_Angeles,1
10145,10145,"NE 50th St & 16th Ave NE","",47.664959,-122.311172,1,,0,,America/Los_Angeles,1
10170,10170,"Fairview Ave E & E Nelson Pl","",47.6300545,-122.329338,1,,0,,America/Los_Angeles,1
10180,10180,"Fairview Ave N & Yale Ave N","",47.6283493,-122.33152,1,,0,,America/Los_Angeles,1
10190,10190,"Fairview Ave N & Aloha St","",47.6270752,-122.333122,1,,0,,America/Los_Angeles,1
102,102,"Spring St & 4th Ave","",47.6069107,-122.333092,21,,0,,America/Los_Angeles,1
10210,10210,"Fairview Ave N & Mercer St","",47.6235619,-122.33445,1,,0,,America/Los_Angeles,1
